,demand,rsi,macd,signal,hist,sma,upper,lower,bandwidth,pct_b,ss_classic,ss_dynamic,cross,accion
2019-01-07,32.0,,0.0,0.0,0.0,,,,,,,,0,🟢 Orden estándar
2019-01-14,34.0,,0.15954415954416135,0.03190883190883227,0.1276353276353291,,,,,,,,1,🟠 Aumentar orden +20%
2019-01-21,32.0,,0.12318081833751648,0.050163229194569114,0.07301758914294737,,,,,,,,0,🟡 Monitorear
2019-01-28,35.0,,0.33260349040253345,0.10665128143616198,0.22595220896637147,,,,,,,,0,🟡 Monitorear
2019-02-04,37.0,,0.6524348888534419,0.21580800291961796,0.4366268859338239,,,,,,,,0,🟡 Monitorear
2019-02-11,33.0,,0.5764915698180815,0.2879447162993107,0.2885468535187708,,,,,,,,0,🟡 Monitorear
2019-02-18,34.0,,0.5901941937098343,0.3483946117814154,0.24179958192841888,,,,,,,,0,🟡 Monitorear
2019-02-25,39.0,,0.9930644068021124,0.4773285707855548,0.5157358360165576,,,,,,,,0,🟡 Monitorear
2019-03-04,38.0,,1.2176144095746722,0.6253857385433783,0.5922286710312938,,,,,,,,0,🟡 Monitorear
2019-03-11,35.0,,1.1403517119226905,0.7283789332192407,0.4119727787034497,,,,,,,,0,🟡 Monitorear
2019-03-18,39.0,,1.3859111173301386,0.8598853700414203,0.5260257472887183,,,,,,,,0,🟡 Monitorear
2019-03-25,38.0,,1.4827350262125591,0.9844553012756481,0.4982797249369111,,,,,,,,0,🟡 Monitorear
2019-04-01,39.0,,1.621469028599499,1.1118580467404184,0.5096109818590806,,,,,,,,0,🟡 Monitorear
2019-04-08,41.0,,1.8712296398302897,1.2637323653583927,0.6074972744718969,,,,,,,,0,🟡 Monitorear
2019-04-15,38.0,56.646847470191965,1.8062702367794259,1.3722399396425995,0.4340302971368264,,,,,,,,0,🟡 Monitorear
2019-04-22,39.0,58.700783544753584,1.8145639211495066,1.460704735943981,0.3538591852055255,,,,,,,,0,🟡 Monitorear
2019-04-29,42.0,64.18305698437302,2.039699270201268,1.5765036427954386,0.46319562740582954,,,,,,,,0,🟠 Aumentar orden +20%
2019-05-06,42.0,64.18305698437302,2.1928429280600525,1.6997714998483615,0.49307142821169103,,,,,,,,0,🟠 Aumentar orden +20%
2019-05-13,46.0,70.28307190985358,2.6069259314758,1.8812023861738494,0.7257235453019506,,,,,,,,0,🟠 Aumentar orden +20%
2019-05-20,44.0,64.37912879044822,2.742097219833134,2.0533813529057063,0.6887158669274278,37.85,45.69789613107937,30.00210386892063,0.41468407561846066,0.8918247576980962,,9.128599441489254,0,🟠 Aumentar orden +20%
2019-05-27,44.0,64.37912879044822,2.816751679716141,2.2060554182677934,0.6106962614483478,38.45,46.24946017025335,30.650539829746656,0.4056936369442573,0.8557938548854541,,9.072259184487969,0,🟠 Aumentar orden +20%
2019-06-03,50.0,72.43539522724504,3.3217743855536455,2.429199211724964,0.8925751738286816,39.25,48.308290764760606,30.191709235239394,0.46156895616614557,1.0933790534645143,,10.536519168312203,0,🔴 ALERTA STOCKOUT — orden emergencia
2019-06-10,48.0,66.99610460058639,3.520048307385828,2.6473690308571367,0.8726792765286913,40.05,49.23752013961272,30.862479860387275,0.4588025038508226,0.9326521128222047,,10.686837569498378,0,🟠 Aumentar orden +20%
2019-06-17,49.0,68.27872105419644,3.715048692782723,2.860904963242254,0.854143729540469,40.75,50.437213493216596,31.062786506783404,0.47544606101676545,0.9258190451659295,,11.268076208801936,0,🟠 Aumentar orden +20%
2019-06-24,46.0,60.66221476307084,3.5861737959537052,3.0059587297845445,0.5802150661691607,41.2,50.9893604973649,31.410639502635107,0.47521167462936387,0.7451641249340069,,11.386892649468779,0,🟠 Aumentar orden +20%
