,price,rsi,macd,signal,hist,sma,upper,lower,bandwidth,pct_b,cross,position,ret_daily,ret_strat,equity_strat,equity_bh
2019-01-02,275.09450054429647,,0.0,0.0,0.0,,,,,,0,0,,,100.0,100.0
2019-01-03,278.26681958644264,,0.2530624876925458,0.05061249753850916,0.20244999015403664,,,,,,1,1,0.011531742858797545,0.0,100.0,101.15317428587976
2019-01-04,277.779713946531,,0.4095894855477127,0.12240789514034987,0.2871815904073628,,,,,,0,1,-0.001750498462718575,-0.001750498462718575,99.82495015372814,100.97610580979321
2019-01-07,277.6569071802034,,0.5177603602223826,0.20147838815675645,0.31628197206562614,,,,,,0,1,-0.0004421012772416466,-0.0004421012772416466,99.7808174157646,100.93146414444382
2019-01-08,279.2564271986376,,0.7242062565495075,0.30602396183530667,0.4181822947142009,,,,,,0,1,0.005760778777947229,0.005760778777947229,100.35563263117957,101.51290798111428
2019-01-09,282.117133998117,,1.1059030851796479,0.46599978650417495,0.6399032986754729,,,,,,0,1,0.010244014177853034,0.010244014177853034,101.38367715468077,102.55280764970792
2019-01-10,274.4127252688947,,0.7777537151350202,0.5283505722303441,0.24940314290467613,,,,,,0,1,-0.027309254918468584,-0.027309254918468584,98.61496447069187,99.75216688299736
2019-01-11,267.58930911796557,,-0.032524757368776136,0.4161755063105201,-0.4487002636792962,,,,,,-1,0,-0.024865523799025402,-0.024865523799025402,96.16285172470585,97.27177700336384
2019-01-14,269.93576401153297,,-0.47980607899040706,0.23697918925033468,-0.7167852682407417,,,,,,0,0,0.008768866369519124,0.0,96.16285172470585,98.12474021743199
2019-01-15,270.348420936649,,-0.7918537861890513,0.031212594162457474,-0.8230663803515088,,,,,,0,0,0.001528722681957806,0.0,96.16285172470585,98.2747457334636
2019-01-16,272.27325717026633,,-0.8737634437206339,-0.1497826134141608,-0.7239808303064731,,,,,,0,0,0.007119835310850142,0.0,96.16285172470585,98.97444573830153
2019-01-17,276.4209842012999,,-0.5971074470749613,-0.23924758014632092,-0.3578598669286404,,,,,,0,0,0.015233692335930638,0.0,96.16285172470585,100.48219199379808
2019-01-18,271.12376339335464,,-0.796119850939931,-0.3506220343050429,-0.4454978166348881,,,,,,0,0,-0.019163598679931115,-0.0,96.16285172470585,98.55659159194914
2019-01-21,270.1286844629805,,-1.022348174898866,-0.48496726242380755,-0.5373809124750586,,,,,,0,0,-0.0036702018219274546,-0.0,96.16285172470585,98.19486900992543
2019-01-22,272.63495837487284,47.02908931387028,-0.9880112143749784,-0.5855760528140418,-0.4024351615609366,,,,,,0,0,0.009278073955288457,0.0,96.16285172470585,99.10592826662938
2019-01-23,275.15900667622645,51.94782322224776,-0.7485010678237813,-0.6181610558159898,-0.13034001200779155,,,,,,0,0,0.009257977467009404,0.0,96.16285172470585,100.02344871736888
2019-01-24,274.13974763829447,49.931491327534665,-0.6336291546876396,-0.6212546755903198,-0.012374479097319813,,,,,,0,0,-0.003704254678936758,-0.0,96.16285172470585,99.65293638945417
2019-01-25,273.779357080196,49.20426279169785,-0.5651580518260175,-0.6100353508374593,0.044877299011441774,,,,,,1,1,-0.001314623513019253,-0.0,96.16285172470585,99.52193029613518
2019-01-28,275.5125215906713,52.76707004283455,-0.36681391567913124,-0.5613910638057937,0.1945771481266625,,,,,,0,1,0.006330515671302495,0.006330515671302495,96.77161216454623,100.15195543551314
2019-01-29,273.8263080182664,49.154735997695326,-0.34174863626100205,-0.5174625782968354,0.17571394203583335,274.3728155197849,281.5783055263687,267.16732551320115,0.05252335216179015,0.4620770064895531,0,1,-0.006120279262334716,-0.006120279262334716,96.17934287343286,99.5389974995789
2019-01-30,274.4567840598505,50.518711636378534,-0.2679216403938085,-0.46755439071623006,0.19963275032242156,274.3409296955627,281.5386127575887,267.1432466335367,0.05247254261340652,0.5080480317964443,0,1,0.0023024670132940628,0.0023024670132940628,96.40079263775924,99.76818275785804
2019-01-31,277.1710917008277,55.992163357092586,0.009499226764091873,-0.3721436672201657,0.38164289398425755,274.2861433012819,281.3738453489328,267.1984412536311,0.051681079928748444,0.7035178948092166,0,1,0.009889745120620796,0.009889745120620796,97.35417190637249,100.75486465648076
2019-02-01,273.00423964511896,47.335661298497,-0.105654949869745,-0.3188459237500816,0.2131909738803366,274.04736958621135,280.95909425318837,267.1356449192343,0.05044182454597648,0.42453909904164183,0,1,-0.015033501618582634,-0.015033501618582634,95.89059780544227,99.24016623558748
2019-02-04,267.9017270908432,39.31923302587529,-0.6017094521334343,-0.37541862942675214,-0.22629082270668216,273.5596105817433,280.7692340919093,266.3499870715773,0.052709707363848425,0.10761588431614262,-1,0,-0.01869023192060515,-0.01869023192060515,94.09838029345308,97.38534451280493
2019-02-05,271.98166370053605,47.042079517370325,-0.6580340254741373,-0.43194170863622916,-0.2260923168379081,273.19587240683825,279.91252532638447,266.479219487292,0.04917096924176003,0.40961207011540546,0,0,0.015229228471189904,0.0,94.09838029345308,98.86844817413598
2019-02-06,268.9726690002448,42.72345543281604,-0.9346977667133274,-0.5324929202516488,-0.40220484646167853,272.53864915694464,278.04264705755725,267.03465125633204,0.040390586198605985,0.1760554581331759,0,0,-0.011063226319566355,-0.0,94.09838029345308,97.7746441561212
2019-02-07,268.02599310033753,41.434650607172,-1.2163235871444158,-0.6692590536302023,-0.5470645335142135,272.21931254851677,277.9996576893586,266.4389674076749,0.04246829577759401,0.13727776231295108,0,0,-0.0035195988626874897,-0.0,94.09838029345308,97.43051662974963
2019-02-08,265.17911461613005,37.746955521684534,-1.6502107775369836,-0.8654493984115585,-0.7847613791254251,272.098802823425,278.3656051731991,265.83200047365085,0.04606269696703443,-0.0520908288693939,0,0,-0.010621650726023946,-0.0,94.09838029345308,96.39564371205236
2019-02-11,264.3091092880548,36.67278583761631,-2.04074719757665,-1.1005089582445768,-0.940238239332073,271.8174700872511,278.9399102639744,264.69502991052775,0.05240605156421394,-0.027091882339297806,0,0,-0.0032808214528307067,-0.0,94.09838029345308,96.07938681620243
2019-02-12,265.6542518686859,39.53766915738627,-2.2161618256761813,-1.3236395317308978,-0.8925222939452835,271.58276163385295,279.2011448589087,263.9643784087972,0.05610358462535149,0.1109076171392213,0,0,0.00508927817226712,0.0,94.09838029345308,96.56836154233093
2019-02-13,267.2653599871858,42.87125967790938,-2.1998180880883638,-1.498875243002391,-0.7009428450859727,271.3323667746989,279.1809079768805,263.48382557251733,0.05785186113604085,0.24090683333721438,0,0,0.006064680339828543,0.0,94.09838029345308,97.15401778602617
2019-02-14,269.1311754859477,46.546867933608844,-2.0131040306685577,-1.6017210005356244,-0.4113830301329333,270.9678763389313,278.4917645481958,263.4439881296668,0.05553343304690102,0.37794204260491365,0,0,0.006981134775009501,0.0,94.09838029345308,97.8322630781241
2019-02-15,265.8097054337839,41.43595742592002,-2.10883730573255,-1.7031442615750096,-0.40569304415754015,270.7021734409527,278.5703332765681,262.83401360533736,0.05813148624262237,0.18909706275773805,0,0,-0.012341454111239658,-0.0,94.09838029345308,96.6248706927467
2019-02-18,264.6174603271105,39.74881446516861,-2.2549175462069684,-1.8134989185014014,-0.44141862770556695,270.4266122341593,278.75208204154933,262.10114242676923,0.061572858814509884,0.1511216759267858,0,0,-0.004485333237654876,-0.0,94.09838029345308,96.19147594864442
2019-02-19,263.35157843959905,37.98054666669991,-2.444652841921993,-1.9397297031855198,-0.5049231387364732,269.9624432373956,278.78954419865426,261.1353422761369,0.06539502943745723,0.1255359020582754,0,0,-0.004783818444733856,-0.0,94.09838029345308,95.73131339177512
2019-02-20,263.22739597883566,37.802882219001795,-2.5753528529057235,-2.0668543331295606,-0.5084985197761629,269.365862702526,278.32597962335313,260.40574578169884,0.06652748667504499,0.1574561036462647,0,0,-0.00047154629373857837,-0.0,94.09838029345308,95.6861716457505
2019-02-21,265.0923864946937,42.17747302329952,-2.4996302237458963,-2.153409511252828,-0.3462207124930683,268.913494645346,277.77176389178646,260.0552253989056,0.06588192428292293,0.28431971052427796,0,0,0.007085092753825739,0.0,94.09838029345308,96.36411704711914
2019-02-22,266.014592450574,44.26499565970156,-2.338251275943662,-2.190377864190995,-0.14787341175266722,268.5252564138649,277.1634808283204,259.8870319994094,0.06433826396681172,0.3546770816066411,0,0,0.003478809663584048,0.0,94.09838029345308,96.69934946872539
2019-02-25,265.889612066673,44.032983443184996,-2.1951379853449,-2.1913298884217762,-0.0038080969231235606,268.0441109376649,276.09571557672024,259.9925062986096,0.0600767135744143,0.36620686387522994,0,0,-0.0004698252932279212,-0.0,94.09838029345308,96.6539176685063
2019-02-26,266.301119165274,45.05417054616057,-2.025169593274029,-2.158097829392227,0.13292823611819804,267.6678514950153,275.27266155013194,260.0630414398987,0.05682273767761936,0.41014027175985823,1,1,0.0015476614351439544,0.0,94.09838029345308,96.80350520943742
2019-02-27,268.05849301031583,49.3080363948826,-1.728735251810349,-2.0722253138758515,0.3434900620655026,267.3479369425386,274.2567183094396,260.4391555756376,0.05168382031229894,0.5514241246062165,0,1,0.0065991981203472605,0.0065991981203472605,94.71935414781335,97.44233071905856
2019-02-28,268.2117298386301,49.673905688853466,-1.4645614167603753,-1.9506925344527564,0.48613111769238104,266.8999688494287,272.0699580665086,261.72997963234883,0.038741025256518714,0.6268630295076609,0,1,0.0005716544422578185,0.0005716544422578185,94.77350088737974,97.49803406027807
2019-03-01,269.2675620652378,52.23213304697843,-1.1566715231683133,-1.7918883321958679,0.6352168090275545,266.7131349704347,271.1760106805584,262.25025926031094,0.03346573621594191,0.7861862239417284,0,1,0.003936562458483728,0.003936562458483728,95.14658269303207,97.88184116093574
2019-03-04,268.6183246018876,50.53115586991483,-0.9540568284199367,-1.6243220314406817,0.670265203020745,266.7489648459869,271.2632300440479,262.23469964792594,0.03384654332711187,0.7070502810406046,0,1,-0.002411123933275472,-0.002411123933275472,94.91717249033152,97.64583591107953
2019-03-05,268.82269118771023,51.07130706302213,-0.7681379316321113,-1.4530852114789676,0.6849472798468563,266.59101622034564,270.51713797338795,262.6648944673033,0.029454269005053418,0.7842085788138506,0,1,0.0007608065686715015,0.0007608065686715015,94.98938609864189,97.72012550444411
2019-03-06,268.43962624225895,49.96992132754697,-0.6442791570722193,-1.291324000597618,0.6470448435253988,266.56436408244633,270.4291697741279,262.69955839076476,0.028997167006811254,0.7426075603035943,0,1,-0.0014249725116537437,-0.0014249725116537437,94.85402883455247,97.58087701176493
2019-03-07,269.92799249896643,54.11082223886577,-0.421166522257181,-1.1172925049295308,0.6961259826723498,266.65946405237776,270.76199705853816,262.55693104621736,0.030769828633230675,0.8983549238580926,0,1,0.005544510240691025,0.005544510240691025,95.37994796879644,98.12191518365226
