date,poc,vah,val,profile_width
2023-03-29,4628.017266055658,4628.017266055658,3210.581503765322,0.3062727904423703
2023-03-30,3199.6198598752553,4627.440337429865,3146.7376199658256,0.46277457395259713
2023-03-31,3199.6198598752553,4627.440337429865,3146.7376199658256,0.46277457395259713
2023-04-03,3199.6198598752553,4627.440337429865,3146.7376199658256,0.46277457395259713
2023-04-04,3305.3843396941156,4627.440337429865,3146.7376199658256,0.44796688230242715
2023-04-05,3305.3843396941156,4627.440337429865,3146.7376199658256,0.44796688230242715
2023-04-06,3305.3843396941156,4627.440337429865,3146.7376199658256,0.44796688230242715
2023-04-07,3305.3843396941156,4627.440337429865,3146.7376199658256,0.44796688230242715
2023-04-10,3305.3843396941156,4627.440337429865,3146.7376199658256,0.44796688230242715
2023-04-11,3305.3843396941156,3992.8534585167054,3146.7376199658256,0.2559810756013869
2023-04-12,3299.24216241145,4015.0248120128076,3145.8601660683016,0.263443725303639
2023-04-13,3296.5996429239954,4001.812214575536,3145.4826632843797,0.25976146455309784
2023-04-14,3296.5996429239954,4001.812214575536,3145.4826632843797,0.25976146455309784
2023-04-17,3270.9703401924107,4002.814706787298,3141.8213343227244,0.26322261681343356
2023-04-18,3285.7473311028243,3763.7163987011086,3138.6799256879676,0.19022657862232956
2023-04-19,3277.0955664640364,4008.824543244358,3137.71861850588,0.26581645456204855
2023-04-20,3299.055960267082,3851.5852010582685,3136.5473600343803,0.2167401370681814
2023-04-21,3299.055960267082,3851.5852010582685,3136.5473600343803,0.2167401370681814
2023-04-24,3282.9294246989525,3992.600368791356,3135.0813113463687,0.2612054499233173
2023-04-25,3282.9294246989525,3696.9041420861877,3135.0813113463687,0.17113460512217335
2023-04-26,3282.9294246989525,3696.9041420861877,3135.0813113463687,0.17113460512217335
2023-04-27,3280.602557083439,3659.5077828907615,3134.869777926777,0.15992123271110437
2023-04-28,3280.602557083439,3659.5077828907615,3134.869777926777,0.15992123271110437
2023-05-01,3303.723688966781,3695.035025405546,3132.524979274822,0.17026546378842167
2023-05-02,3294.01311980269,3479.3108475803747,3131.877607997216,0.10547415172528819
2023-05-03,3294.01311980269,3479.3108475803747,3131.877607997216,0.10547415172528819
2023-05-04,3284.7874043683705,3657.6334542448267,3131.262560301594,0.16024504150351496
2023-05-05,3284.7874043683705,3657.6334542448267,3131.262560301594,0.16024504150351496
2023-05-08,3284.7874043683705,3657.6334542448267,3131.262560301594,0.16024504150351496
2023-05-09,3284.7874043683705,3657.6334542448267,3131.262560301594,0.16024504150351496
2023-05-10,3284.7874043683705,3504.108610178051,3131.262560301594,0.11350690439832327
