date,signal_type,label,day_return,poc
2023-01-03,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0014635148970617113,4253.834986066179
2023-01-04,arriba_va,🟢 Sobre VAH → posible tendencia alcista,0.0017803457707695396,4241.157739620625
2023-01-05,arriba_va,🟢 Sobre VAH → posible tendencia alcista,0.002598708088443875,4242.591802046369
2023-01-06,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.00014554369778302506,4246.738715573465
2023-01-09,dentro_va,⬜ Dentro VA → rango lateral esperado,0.0024990801821378754,4246.738715573465
2023-01-10,arriba_va,🟢 Sobre VAH → posible tendencia alcista,-0.0008107126889981125,4423.919722193745
2023-01-11,arriba_va,🟢 Sobre VAH → posible tendencia alcista,0.00015073704658015137,4249.93635436549
2023-01-12,arriba_va,🟢 Sobre VAH → posible tendencia alcista,0.0007173583747468644,4252.19116744472
2023-01-13,arriba_va,🟢 Sobre VAH → posible tendencia alcista,0.002730124270868119,4252.19116744472
2023-01-16,dentro_va,⬜ Dentro VA → rango lateral esperado,0.00173331316773119,4252.48095740132
2023-01-17,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.002261049746059212,4648.522320384691
2023-01-18,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.0015004966891283985,4601.929218857235
2023-01-19,dentro_va,⬜ Dentro VA → rango lateral esperado,0.0029412915593666116,4601.929218857235
2023-01-20,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.00029790814058050806,4601.929218857235
2023-01-23,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.002249091554814758,4597.984824542928
2023-01-24,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.00503342431878381,4422.6651513057295
2023-01-25,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.0016274277387921033,4239.174462384737
2023-01-26,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0019918307800334423,4239.174462384737
2023-01-27,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.0017088707676251162,4618.920656857876
2023-01-30,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.002295032583529401,4643.575072272588
2023-01-31,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.005444124309553814,4643.575072272588
2023-02-01,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.004906584336346942,4643.575072272588
2023-02-02,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.00014423403352668477,4643.575072272588
2023-02-03,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.0007785608758292511,4003.2379830893324
2023-02-06,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0027203299942318653,4006.4208528374884
2023-02-07,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.0019121141912236325,4006.4208528374884
2023-02-08,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.005009530493057159,4631.774545663668
2023-02-09,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0001982787025922705,4631.774545663668
2023-02-10,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.003646295769023619,4630.39372890694
2023-02-13,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.001959339828750059,3689.167275728617
2023-02-14,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.00014217579711748652,3687.788771631377
2023-02-15,dentro_va,⬜ Dentro VA → rango lateral esperado,0.00258792013907967,3686.0900091037274
2023-02-16,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0011549991166311018,3686.0900091037274
2023-02-17,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.0030097922308059623,3990.5535011791735
2023-02-20,dentro_va,⬜ Dentro VA → rango lateral esperado,0.0017336760394039807,3993.1029795268614
2023-02-21,dentro_va,⬜ Dentro VA → rango lateral esperado,-0.0025008066230892503,3651.1518076004786
2023-02-22,abajo_va,🔴 Bajo VAL → posible tendencia bajista,0.0034006457624572595,3670.1766556640605
2023-02-23,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.001586890310396869,3653.766498099447
2023-02-24,abajo_va,🔴 Bajo VAL → posible tendencia bajista,-0.004306083318205374,3673.757642222486
