,FX,IPC,IPC_Ali,BVL
2018-01-08,0.00017042871429628903,0.003050369603127212,-0.006215501625427056,0.004457861710776001
2018-01-15,0.00489808783371104,0.0033907043941954207,0.010174933823953847,0.01227612131831557
2018-01-22,0.010189744589172767,-9.203913542177311e-05,0.00683558489447833,-0.03445506453832414
2018-01-29,-0.00040483827920023696,0.0030980406970357866,0.005536178405883163,0.02536049645736882
2018-02-05,-0.00040473981242994395,0.004991993164981778,0.009896145903673048,-0.0013750755378622026
2018-02-12,0.010530334686643439,0.008804574431180434,0.01399284666677536,0.013598193800850256
2018-02-19,0.0056203435752457676,0.006837083304340741,0.010086220390108869,-0.012178871125506419
2018-02-26,-0.0018151968494357629,0.011612729830046131,-0.007045245387989785,0.007653286860750841
2018-03-05,0.004264427163409357,-6.939025155205947e-05,-0.0036774618004142834,-0.01234098675808415
2018-03-12,-0.001778921996129501,0.006489282546882746,0.0002510885338258273,-0.0071852275283494915
2018-03-19,-0.0017927695867723248,0.0037333680229534316,0.004156546301264941,0.023268376246401434
2018-03-26,0.0024547816842150905,0.011759211732870645,0.007105954122814673,-0.001988188809160296
2018-04-02,-0.010424960924218185,-0.00023319314142045133,-0.0003544628789206028,0.0029091944781567403
2018-04-09,-0.009305936248615865,-0.00035888736872324856,0.005120600586862478,0.010740812768265107
2018-04-16,-0.0023709101176733194,0.0006024294182238599,-0.0005322975941199903,0.006248182655671286
2018-04-23,-0.005064120607824796,-0.005495582897239282,0.00033089318204848617,0.0021050268617228696
2018-04-30,0.0028896510115048457,0.000896979913276974,-0.004439966581089472,0.004679532029594702
2018-05-07,-0.004438266110781575,-3.653064621478297e-05,-0.0015393994766655927,0.02914098702285961
2018-05-14,-0.007445962647818827,0.0036015751459046452,-0.0041101076336979014,-0.0003914255644029696
2018-05-21,0.009842009736146684,0.004367023903108613,-0.001855239517864038,0.0027131885605797823
2018-05-28,-0.00035459491927503084,0.010504683356863609,0.01032185077964698,0.012907852752091387
2018-06-04,0.0014061569409875574,0.006801695352744108,-0.0016963933329918746,0.013566311195495784
2018-06-11,-0.007520070823321734,0.0006923853773503907,0.019794292389024415,0.014544363666724625
2018-06-18,-0.0022637302364728606,-0.0005936586853934056,0.006959907405285515,0.0079647626643502
2018-06-25,0.0016669233129293914,0.004967676686025824,0.005109016742169237,-0.013416058952765653
2018-07-02,-0.00588855555718748,-0.0022809328280825047,-0.0011501466810873717,0.019901178387613072
2018-07-09,0.003259488728378779,0.010325835063417443,0.008201859276453893,-0.01345614471622425
2018-07-16,-0.0026004451089981506,0.007717760482885083,0.0005461730425733169,0.003931625582868303
2018-07-23,-0.0007498811972175279,0.001123297391581124,0.004732058887872093,-0.008751310200232454
2018-07-30,-0.0026068359599465962,-0.0038525381163635464,0.0193605072296128,-0.00046966015911587
2018-08-06,0.012187336757998546,0.00841548949666171,0.0034236406016521226,0.004245148923641695
2018-08-13,0.0009194390767708338,0.0025418406189894327,0.010895639957714032,0.004156286585403235
2018-08-20,-0.005331999730261439,0.007951265247893913,-0.0002190585507552134,0.00536304905082341
2018-08-27,0.0059529180836195295,-0.0033777106351773334,0.003790069057018286,0.019664535228703484
2018-09-03,-0.006305100803038588,0.0006024999081850613,0.014624803813813259,0.0057424116181676865
2018-09-10,0.0022557218911989363,0.0030209747988727553,0.00023819765327326436,-0.0026298796234877075
