Date,ALICORC1.LM,BACKUSI1.LM,CONTINC1.LM,CPACASC1.LM,CREDITC1.LM,FERREYC1.LM,LUSURC1.LM
2015-01-05,0.008438849041840557,0.0016394231724354835,-0.021506044081581077,-0.028301944884620567,0.0,-0.024691084638289174,0.0
2015-01-06,0.0,0.0,-0.010988677281305481,-0.029126167708836914,0.001883154018958555,-0.03797489132114251,0.0018472712804677993
2015-01-07,0.0,0.01472987481425192,-0.004444376978203102,0.033999930081132446,0.03383442708370055,0.013157901458521026,0.0
2015-01-08,0.0,-0.004032143112920217,0.0,-0.029013387543298852,0.009091314270502915,0.0,0.0
2015-01-09,-0.020920577013318065,0.003238866773620508,0.0,-0.001992131307226641,-0.0018022242423967327,-0.0129870195352364,0.0018430625385961186
2015-01-12,0.005697988438280843,-0.00322841038250099,0.0,0.0,0.0018054781188316937,-0.01315800362803965,0.002759628034251005
2015-01-13,-0.008498501143677117,-0.004858300160430762,-0.006696615248132698,-0.021955971463795465,0.00720698099708228,-0.013333341615876515,0.00917440354832233
2015-01-14,-0.035714375781930485,-0.004068309751837917,0.0,-0.01632655503310576,-0.0017888279897766424,-0.020270335497567515,0.0027272522156103207
2015-01-15,-0.0029628946306035076,0.0,-0.011235727699929088,0.0,0.001792033629692158,0.0,0.0009066904661070296
2015-01-16,0.0,0.013071739913278257,-0.004545737885579104,0.006223918055857869,0.01073356865326991,-0.02068972312669748,0.0009053169563806307
2015-01-20,0.008915217619397398,0.007258104827068124,0.004566495979356766,0.0,0.008849751250877613,-0.0281687075556053,0.006335269554540446
2015-01-21,-0.013254835531482101,0.008807162376385236,-0.002272868942789552,0.010309452369080097,0.0087718256085898,-0.04347828044078872,0.00809330770498251
2015-01-22,-0.004477508978731337,0.03174603415971822,-0.00455597540770547,0.03673460771338144,0.008695647095661174,0.00757570231602922,0.01248914646739796
2015-01-23,-0.0029985517927189065,0.011538425542899633,0.0022883544500464925,0.0,-0.02068968179147046,0.03759406309849456,0.014096962673471047
