,eps_A,eps_B,eps_C,es_campana,el_nino
2019-01-07,8.671181343680384,10.33981206209979,94.32403999655087,0.0,0.0
2019-01-14,-32.29745723675698,-75.505062204968,-20.281941028258796,0.0,0.0
2019-01-21,-13.966380798402188,-12.611840238808508,-14.020834603821791,0.0,0.0
2019-01-28,8.338359675664234,-20.46571313123194,-14.633191017351528,0.0,0.0
2019-02-04,-21.534947069686197,-19.534652504111136,-45.58486779650755,0.0,0.0
2019-02-11,16.94597614773938,-4.062826817566212,-6.681149590402746,0.0,0.0
2019-02-18,-23.221521114175236,7.779049493593344,0.5814276078606967,0.0,0.0
2019-02-25,-6.459034653013405,8.127270554763985,-20.238448545821406,0.0,0.0
2019-03-04,-108.41723970615185,-39.08514275664751,79.96204068803,0.0,0.0
2019-03-11,-11.621845980987105,-135.31744464015236,52.73712812610286,0.0,0.0
2019-03-18,-2.5683723302862553,38.32758339964581,27.570088089102704,0.0,0.0
2019-03-25,-7.990013529070022,32.20652753634904,36.38357532700073,0.0,0.0
2019-04-01,20.558950211869824,-6.434006097224974,8.333509402505438,0.0,0.0
2019-04-08,4.6867679383970815,-18.64926538441607,-40.112099871663425,0.0,0.0
2019-04-15,16.29064511004454,65.8014135915494,201.5976477113119,1.0,0.0
2019-04-22,37.82703140477048,87.22132489998269,178.2082348333722,1.0,0.0
2019-04-29,-13.143721532827712,-66.86216167187156,18.23371640245075,0.0,0.0
2019-05-06,10.486478447345595,-64.1962844784425,-27.279734481439355,0.0,0.0
2019-05-13,-12.475567148016212,3.23245265872693,22.148201684829964,0.0,0.0
2019-05-20,26.12706181710902,13.959517388675264,3.3376635912355725,0.0,0.0
2019-05-27,-8.862220598653503,32.25346153602094,-108.31650846722557,0.0,0.0
2019-06-03,-33.81003154458101,-88.5614087946449,118.91224413715058,0.0,0.0
2019-06-10,-12.804413555591871,-81.58575547455342,15.408186805102172,0.0,0.0
2019-06-17,-45.09779726025048,55.40066184790527,-39.886734611774635,0.0,0.0
2019-06-24,-9.711551057369226,-0.5237873966024714,53.24977429185358,0.0,0.0
2019-07-01,6.290152588334599,-5.30424522441942,-39.809630579984386,0.0,0.0
2019-07-08,-42.95795855720123,75.90267072065726,20.086632990890962,0.0,0.0
2019-07-15,21.410044263439843,-15.912175991900426,-32.43835032185081,0.0,0.0
2019-07-22,16.18643398068997,130.80339764803068,172.61298193328037,1.0,0.0
2019-07-29,23.364107653050716,1.0697041509735996,132.21544488655448,1.0,0.0
2019-08-05,11.658656622989483,-27.948327471121154,-99.00049685311791,0.0,0.0
2019-08-12,-2.817032325752667,9.242592402034534,35.98525682948883,0.0,0.0
2019-08-19,-65.5576967385443,2.525944144029824,-10.827584372497254,0.0,0.0
2019-08-26,-38.512491931221135,-40.6431818959242,41.36938953178297,0.0,0.0
2019-09-02,25.065833085494685,-11.16431721437122,-3.4995095622960286,0.0,0.0
2019-09-09,32.67815523029914,17.59692812042929,61.84906026487834,0.0,0.0
2019-09-16,-33.30595230822662,-13.907834694165524,-86.47905547270963,0.0,0.0
2019-09-23,-19.1631324254857,60.62666981561589,14.476283596373822,0.0,0.0
2019-09-30,24.136064439622267,-74.06878804670325,-49.67529077902573,0.0,0.0
2019-10-07,-18.904867528550152,-30.683486207037063,13.607485898827608,0.0,0.0
2019-10-14,15.112543944177858,2.6817134450084126,27.396081739833356,0.0,0.0
2019-10-21,-63.80195371377346,-6.427763418445525,18.611153622017753,0.0,0.0
2019-10-28,-35.37618448736922,-36.81361143844704,-9.810208203780869,0.0,0.0
2019-11-04,-26.0320551411643,-75.34094665831233,27.52813140111192,0.0,0.0
2019-11-11,16.194722349393803,23.644832945950302,23.619959425194818,0.0,0.0
2019-11-18,-5.796740585485956,29.4431913149859,9.306184451346825,0.0,0.0
2019-11-25,-27.037782761992528,-2.0169588095781825,-33.17961441082955,0.0,0.0
2019-12-02,-25.034958623507098,-36.224929333919896,15.153311967504258,0.0,0.0
2019-12-09,34.45478262315876,89.16863444223651,229.30191432132878,1.0,0.0
2019-12-16,29.163526892842764,122.84077882371074,88.91358521931528,1.0,0.0
2019-12-23,26.273857083749718,377.9195082233664,26.820849414375076,1.0,0.0
2019-12-30,-35.02300589715444,-48.053063116078114,-9.61985579415123,0.0,0.0
2020-01-06,56.72089429336655,-13.939969597777333,-4.4887071503467135,0.0,0.0
2020-01-13,-60.89773325632372,31.51766964232742,166.78063980059753,0.0,0.0
2020-01-20,-7.48443711070184,-40.035415676239595,-17.332925373577492,0.0,0.0
2020-01-27,17.986035742806262,37.88520263918349,29.6604807729423,0.0,0.0
2020-02-03,6.572963171143957,37.69819534374218,66.83739396944128,0.0,0.0
2020-02-10,-2.0290766668099347,-43.50331675012479,36.708299060444574,0.0,0.0
2020-02-17,6.661552078573926,-32.207347727908676,21.011553185942663,0.0,0.0
2020-02-24,-20.024252141949127,-89.87507101103361,-13.622365069456986,0.0,0.0
2020-03-02,34.72626867059034,43.69315111494599,-19.51463180797798,0.0,0.0
2020-03-09,-17.749828999004905,-40.59296521075525,77.52199271682615,0.0,0.0
2020-03-16,-36.98436128865948,59.57330642041282,-34.97383700580718,0.0,0.0
2020-03-23,-43.102522407238126,53.984518036341235,-42.61052312227814,0.0,0.0
2020-03-30,30.140598619484287,42.90602993126346,5.066085027950939,0.0,0.0
2020-04-06,1.580330755667623,16.946117895999333,9.514271258678034,0.0,0.0
2020-04-13,58.39737816748478,45.60497227103668,113.01351165665606,1.0,0.0
2020-04-20,89.52272032082723,114.86380144529208,97.78003650026048,1.0,0.0
2020-04-27,11.880138794835313,-29.04756151142868,-3.4719963260448092,0.0,0.0
2020-05-04,-27.413202489465114,-157.50528340670542,-22.426975204907663,0.0,0.0
2020-05-11,-7.795050120766045,58.97628178157253,-5.401200646799295,0.0,0.0
2020-05-18,-7.483248848414199,-9.220991656257086,-19.197209220968766,0.0,0.0
2020-05-25,-35.82930005340574,17.720651633788528,-32.087360097228405,0.0,0.0
2020-06-01,-9.418079628979841,95.9803181132069,-69.88272298513604,0.0,0.0
2020-06-08,22.615672681250448,39.109231440760055,-33.182839031363045,0.0,0.0
2020-06-15,-20.656176535741583,26.821495336604873,-72.96331870475665,0.0,0.0
2020-06-22,17.97336848264064,-63.99323737918084,6.533473502789795,0.0,0.0
2020-06-29,9.602478336885582,-11.948247350651435,43.39034224115701,0.0,0.0
2020-07-06,-53.82530571653532,51.13073909676418,-3.7102379632685825,0.0,0.0
2020-07-13,-35.708965039619,-104.53100231641822,11.568439978847492,0.0,0.0
2020-07-20,33.93507861498904,-31.662378912034654,69.50506179903402,1.0,0.0
2020-07-27,82.17594261159557,105.90579924659826,53.805867829824216,1.0,0.0
2020-08-03,-22.496502111496998,-58.21781949454514,5.9162896778303775,0.0,0.0
2020-08-10,-9.598552927155866,-13.032830964785457,37.173434291060275,0.0,0.0
2020-08-17,-1.6362306107482016,43.29088037366258,-4.516438831360921,0.0,0.0
2020-08-24,20.888011171670403,-52.938560776988034,-22.90602827145149,0.0,0.0
2020-08-31,2.045641111596229,50.142705037422054,19.69896024969554,0.0,0.0
