perdida_mS,log_perdida,tipo,temporada_lluvia,es_el_nino
3.827675497692169,1.3422576992796433,sismo_sequia,1,0
3.878636450121543,1.3554836614880086,huayco,1,0
6.443526756086097,1.8630760231526944,sismo_sequia,0,0
0.4076635874070344,-0.8973129853676411,inundacion,1,0
0.5341709975691548,-0.6270392711145208,huayco,1,0
2.1086145989850382,0.7460311436808204,sismo_sequia,1,0
0.7650954371857334,-0.26775469844564087,sismo_sequia,1,0
1.701892906993029,0.5317411063107841,huayco,1,0
1.1406411985064482,0.13159055911819065,huayco,0,0
0.7018022862948189,-0.3541035580799662,sismo_sequia,0,0
1.1101655351527577,0.1045091349736054,huayco,1,0
0.9184761744636556,-0.08503931427835831,inundacion,1,0
0.2878633142229095,-1.2452695148987039,sismo_sequia,0,0
0.3039379604591124,-1.1909316758396793,huayco,0,0
1.213960969745285,0.19388854199303768,sismo_sequia,1,0
1.9420044235434184,0.6637206476952816,sismo_sequia,1,0
8.939369040920825,2.190465009616536,el_nino,1,1
0.46945989355779305,-0.7561724077147044,huayco,0,0
1.2984141824246116,0.26114366015967605,sismo_sequia,1,0
0.8563243345150992,-0.15510607914158944,sismo_sequia,0,0
8.567222919637732,2.1479436333784885,el_nino,1,1
8.670361982763444,2.1599105411046824,el_nino,1,1
0.91561992976962,-0.08815392424501138,inundacion,1,0
0.7197069427998938,-0.32891117371777945,sismo_sequia,0,0
0.7189795707868003,-0.32992233503499385,huayco,1,0
13.869445802398179,2.6296882769601915,el_nino,1,1
49.99815281588784,3.9119860610634682,el_nino,0,1
1.4705210231172914,0.38561677548727036,inundacion,1,0
0.35260172704787623,-1.0424161109932775,huayco,1,0
1.881023468072203,0.6318160266218205,sismo_sequia,1,0
11.128457431639971,2.4095055601422195,el_nino,0,1
0.3216034436203546,-1.134436033959919,sismo_sequia,0,0
1.3473874777027781,0.29816751582658707,sismo_sequia,0,0
0.7903213453483177,-0.23531564996434576,inundacion,1,0
1.6358772152728063,0.4921791835747906,huayco,1,0
0.3943161008752137,-0.9306024048586609,sismo_sequia,0,0
1.2804133391618393,0.24718294702387736,sismo_sequia,1,0
1.1529149350717367,0.14229346152427064,huayco,1,0
36.20489041611596,3.589194204075147,inundacion,1,0
0.2738561004377554,-1.2951524914339552,huayco,1,0
