,spread_trigo_soya,z_trigo_soya,spread_maiz_arroz,z_maiz_arroz,señal_supply
2016-01-04,0.037100488323071446,,0.027577387607593984,,Neutral
2016-01-05,-0.10495994563731603,,0.05786890023741087,,Neutral
2016-01-06,-0.09258848389614638,,0.01820537096904551,,Neutral
2016-01-07,-0.07254470742145447,,0.005815361566236854,,Neutral
2016-01-08,0.018445231391137185,,-0.01873157369355627,,Neutral
2016-01-11,-0.20128559362574805,,-0.00579260361238032,,Neutral
2016-01-12,-0.07604431534148226,,0.0576430049170884,,Neutral
2016-01-13,-0.48206642052454596,,0.011163784159177625,,Neutral
2016-01-14,-0.5160318060245088,,0.05692330546250912,,Neutral
2016-01-15,-0.5247834899795922,,0.010937232621780923,,Neutral
2016-01-18,-0.3662816146813923,,-0.02982651480482179,,Neutral
2016-01-19,-0.31638398559065006,,0.02031024831700967,,Neutral
2016-01-20,-0.4874574612875371,,0.06292901976166321,,Neutral
2016-01-21,-0.5724549612791958,,0.09308992943100547,,Neutral
2016-01-22,-0.4757906994563301,,0.010743793078065611,,Neutral
2016-01-25,-0.4298762907597724,,-0.008638431092761634,,Neutral
2016-01-26,-0.46349761684036395,,0.033309608671645785,,Neutral
2016-01-27,-0.47791626940544374,,0.03380586143780051,,Neutral
2016-01-28,-0.3157545848854002,,-0.019451399942225,,Neutral
2016-01-29,-0.35549374145158374,,0.0067424008590946105,,Neutral
2016-02-01,-0.3232892301870147,,-0.026786381863275643,,Neutral
2016-02-02,0.06620467477828473,,0.07541369772785611,,Neutral
2016-02-03,-0.16942786907309815,,0.14050280622943956,,Neutral
2016-02-04,-0.4308074237445041,,0.14723268260023215,,Neutral
2016-02-05,-0.2598142669626875,,0.18880554925748783,,Neutral
2016-02-08,-0.33013349119918045,,0.1573983500087992,,Neutral
2016-02-09,-0.33776760947788986,,0.16583447930453743,,Neutral
2016-02-10,-0.4125377547784015,,0.2134706043220449,,Neutral
2016-02-11,-0.4012345500828558,,0.17913718585447724,,Neutral
2016-02-12,-0.10437681977389879,,0.1312685749117981,,Neutral
2016-02-15,0.04161280529433764,,0.024132696545023924,,Neutral
2016-02-16,0.1883745919939761,,0.023599185278101897,,Neutral
2016-02-17,-0.06678348671816181,,0.06307985654183401,,Neutral
2016-02-18,-0.23890224740997423,,0.09959124244752426,,Neutral
2016-02-19,-0.626257122448342,,0.10484628328699519,,Neutral
2016-02-22,-0.6670074551255794,,0.058788247695775064,,Neutral
2016-02-23,-0.45269276932667113,,-0.04548994249208471,,Neutral
2016-02-24,-0.32207794200608486,,-0.04671904494571977,,Neutral
2016-02-25,-0.31670561549745724,,-0.039845048938247585,,Neutral
2016-02-26,-0.2806519786223176,,-0.03602014375919271,,Neutral
2016-02-29,-0.349253477601851,,0.004798825352293257,,Neutral
2016-03-01,-0.2748283121510102,,0.10807550452889503,,Neutral
2016-03-02,-0.12012478928730497,,0.09549150209976287,,Neutral
2016-03-03,-0.35310217668187605,,0.07341666585494133,,Neutral
2016-03-04,-0.2654693572161597,,0.0486009736019033,,Neutral
2016-03-07,-0.08627144703648826,,0.048485058157416105,,Neutral
2016-03-08,-0.1400032785231442,,0.0021773858009124236,,Neutral
2016-03-09,-0.006885353575006192,,0.015812188252296355,,Neutral
2016-03-10,0.48404369621210996,,0.04378662085030527,,Neutral
2016-03-11,0.40365867073916295,,0.05301117668000255,,Neutral
2016-03-14,0.4271117603935881,,0.0697334538599661,,Neutral
2016-03-15,0.24588471614007368,,0.085628079772196,,Neutral
2016-03-16,0.24815403404517866,,-0.008106315622277371,,Neutral
2016-03-17,0.30108411932810153,,0.03493273727167323,,Neutral
2016-03-18,0.30227109603485847,,0.006365545801255479,,Neutral
2016-03-21,0.09516170022660475,,-0.03421248114688846,,Neutral
