Date,ali,bac,spread,z_score,signal,pnl_cum
2015-01-02,4.406196594238281,6.072506427764893,-6.00416565512419,,0,
2015-01-05,4.443379878997803,6.082459926605225,-6.059776093317538,,0,0.0
2015-01-06,4.443379878997803,6.082459926605225,-6.059776093317538,,0,0.0
2015-01-07,4.443379878997803,6.172055244445801,-5.970180775476962,,0,0.0
2015-01-08,4.443379878997803,6.147168159484863,-5.995067860437899,,0,0.0
2015-01-09,4.35042142868042,6.167077541351318,-5.811248215592414,,0,0.0
2015-01-12,4.375211238861084,6.147168159484863,-5.8748685703939785,,0,0.0
2015-01-13,4.338026523590088,6.117302894592285,-5.839167375883891,,0,0.0
2015-01-14,4.183097839355469,6.092415809631348,-5.590874332634979,,0,0.0
2015-01-15,4.170703411102295,6.092415809631348,-5.569019686957084,,0,0.0
2015-01-16,4.170703411102295,6.172055244445801,-5.489380252142631,,0,0.0
2015-01-20,4.207886695861816,6.216850757598877,-5.510148676023235,,0,0.0
2015-01-21,4.152112007141113,6.271605014801025,-5.357048933665398,,0,0.0
2015-01-22,4.13352108001709,6.470702648162842,-5.125170592971234,,0,0.0
2015-01-23,4.121126174926758,6.545365333557129,-5.028652421109392,,0,0.0
2015-01-26,4.121126174926758,6.550343036651611,-5.0236747180149095,,0,0.0
2015-01-27,4.090140342712402,6.550343036651611,-4.969038524215009,,0,0.0
2015-01-28,4.121126174926758,6.550343036651611,-5.0236747180149095,,0,0.0
2015-01-29,4.245069980621338,6.550343036651611,-5.24222033400418,,0,0.0
2015-01-30,4.307041168212891,6.550343036651611,-5.351491880814326,,0,0.0
2015-02-02,4.276055335998535,6.435861587524414,-5.4113371361416185,,0,0.0
2015-02-03,4.344224452972412,6.470702648162842,-5.4966962063367735,,0,0.0
2015-02-04,4.356619834899902,6.470702648162842,-5.51855253359399,,0,0.0
2015-02-05,4.443379878997803,6.470702648162842,-5.671533371759921,,0,0.0
2015-02-06,4.369013786315918,6.470702648162842,-5.540406338482223,,0,0.0
2015-02-09,4.369013786315918,6.470702648162842,-5.540406338482223,,0,0.0
2015-02-10,4.399999618530273,6.420928001403809,-5.6448171790411585,,0,0.0
2015-02-11,4.369013786315918,6.415950775146484,-5.59515821149858,,0,0.0
2015-02-12,4.430984973907471,6.410973072052002,-5.709407461403206,,0,0.0
2015-02-13,4.461971282958984,6.470702648162842,-5.704314919881931,,0,0.0
2015-02-17,4.338026523590088,6.470702648162842,-5.485767622313334,,0,0.0
2015-02-18,4.121126174926758,6.470702648162842,-5.103315106503679,,0,0.0
2015-02-19,3.9661972522735596,6.470702648162842,-4.830134557898997,,0,0.0
2015-02-20,3.9042248725891113,6.470702648162842,-4.720860909114702,,0,0.0
2015-02-23,3.7245066165924072,6.470702648162842,-4.403970228364571,,0,0.0
2015-02-24,3.7245066165924072,6.470702648162842,-4.403970228364571,,0,0.0
2015-02-25,3.6873230934143066,6.445815563201904,-4.363292955896998,,0,0.0
2015-02-26,3.656337261199951,6.470702648162842,-4.28376967713616,,0,0.0
2015-02-27,3.625351667404175,6.470702648162842,-4.229133903731087,,0,0.0
2015-03-02,3.625351667404175,6.470702648162842,-4.229133903731087,,0,0.0
2015-03-03,3.5323939323425293,6.470702648162842,-4.065224901936549,,0,0.0
2015-03-04,3.501408100128174,6.221830368041992,-4.259460988257496,,0,0.0
2015-03-05,3.5323939323425293,6.221830368041992,-4.314097182057399,,0,0.0
2015-03-06,3.5076048374176025,6.470702648162842,-4.021515190185932,,0,0.0
2015-03-09,3.34647798538208,6.470702648162842,-3.7374060575578127,,0,0.0
2015-03-10,3.34647798538208,6.371152877807617,-3.8369558279130374,,0,0.0
2015-03-11,3.2845067977905273,6.555749416351318,-3.543087742559191,,0,0.0
2015-03-12,3.2597179412841797,6.6313934326171875,-3.4237344349375363,,0,0.0
2015-03-13,3.321690082550049,6.9591803550720215,-3.205220740872168,,0,0.0
2015-03-16,3.3154923915863037,6.9591803550720215,-3.1942925772435604,,0,0.0
2015-03-17,3.408450126647949,6.933967590332031,-3.383414343778089,,0,0.0
2015-03-18,3.439436912536621,6.933967590332031,-3.4380522191573135,,0,0.0
2015-03-19,3.439436912536621,6.807893753051758,-3.564126056437587,,0,0.0
2015-03-20,3.5076048374176025,6.807893753051758,-3.684324085297016,,0,0.0
2015-03-23,3.5138020515441895,6.807893753051758,-3.695251408135963,,0,0.0
2015-03-24,3.5323939323425293,6.807893753051758,-3.728033797047633,,0,0.0
2015-03-25,3.5447888374328613,6.807893753051758,-3.749889283515188,,0,0.0
2015-03-26,3.5571823120117188,6.807893753051758,-3.7717422476137585,,0,0.0
2015-03-27,3.5881690979003906,6.656606197357178,-3.9776676786875633,,0,0.0
2015-03-30,3.600562572479248,6.656606197357178,-3.999520642786134,0.8852915264787634,0,0.0
2015-03-31,3.7183094024658203,6.807893753051758,-4.0558518006367095,0.7942812184555359,0,0.0
2015-04-01,3.8422532081604004,6.807893753051758,-4.27439741662598,0.5217110831885923,0,0.0
2015-04-02,3.8422532081604004,6.807893753051758,-4.27439741662598,0.4965846939704248,0,0.0
2015-04-06,3.873239278793335,6.681821346282959,-4.455106437589514,0.25979161089645036,0,0.0
2015-04-07,3.8608453273773193,6.656606197357178,-4.458467781627062,0.23005611293049757,0,0.0
2015-04-08,3.780280113220215,6.6313934326171875,-4.341622827091761,0.3486994043743391,0,0.0
2015-04-09,3.780280113220215,6.505321502685547,-4.467694757023402,0.16635734772102034,0,0.0
2015-04-10,3.780280113220215,6.555749416351318,-4.4172668433576305,0.2046284882677792,0,0.0
2015-04-13,3.7183094024658203,6.555749416351318,-4.307996137337149,0.32317997568573903,0,0.0
2015-04-14,3.749295234680176,6.505321502685547,-4.413060244802821,0.1621135028317793,0,0.0
2015-04-15,3.780280113220215,6.505321502685547,-4.467694757023402,0.06733642305908355,0,0.0
2015-04-16,3.780280113220215,6.505321502685547,-4.467694757023402,0.04449521782583134,0,0.0
2015-04-17,3.7183094024658203,6.606180191040039,-4.257565362648428,0.3120147261506375,0,0.0
2015-04-20,3.780280113220215,6.606180191040039,-4.36683606866891,0.14327179047552968,0,0.0
2015-04-21,3.7183094024658203,6.555749416351318,-4.307996137337149,0.20994365964767941,0,0.0
2015-04-22,3.7183094024658203,6.555749416351318,-4.307996137337149,0.19414855325124333,0,0.0
2015-04-23,3.6873230934143066,6.555749416351318,-4.253359102747584,0.2556916694233308,0,0.0
