,Aceite_Soya,Harina_Trigo,Arroz,Maiz
2016-01-04,5.51208111051202,4.18011563503131,2.802243992618815,1.5955602931922885
2016-01-05,5.508546375986796,4.037293933882656,2.7959384807433,1.622410187863653
2016-01-06,5.524389313289612,4.053077450545724,2.790373574321543,1.5797092712655458
2016-01-07,5.564683269998124,4.081799238596315,2.7844707006014153,1.5640974082523182
2016-01-08,5.554668172572294,4.170632250204566,2.784473780099054,1.5395521538163164
2016-01-11,5.549346352435788,3.949755277712427,2.788691228335114,1.554793053681247
2016-01-12,5.592021502732906,4.084187399451473,2.7958255562498695,1.6221226571087755
2016-01-13,5.6112735130081175,3.6823115529551944,2.7945265449818253,1.5749344216671095
2016-01-14,5.600567448257142,3.6460404282965437,2.792014741893043,1.61932297312864
2016-01-15,5.617727591108686,3.640984482622688,2.7971452567293897,1.5761371918971374
2016-01-18,5.602090378963507,3.796118609526449,2.796857721453238,1.535216504544066
2016-01-19,5.588322861185644,3.8430511617568586,2.7953910562359026,1.584552745606678
2016-01-20,5.5935434615334385,3.6731020340752094,2.7997681692495493,1.6295605936324793
2016-01-21,5.540768850822063,3.5767385943725443,2.8004790561990935,1.66010951324301
2016-01-22,5.497346147802131,3.664051014126641,2.8064492574437043,1.5810219786062627
2016-01-25,5.482542463780858,3.706777189356034,2.807619584492998,1.5622785318526586
2016-01-26,5.455812484628699,3.6673990925968027,2.8085172169302095,1.6047165093060256
2016-01-27,5.4601070377498235,3.6539053475052685,2.8177519848693207,1.610253200312381
2016-01-28,5.438177820000978,3.8113441896682922,2.8157895929851,1.5559248437883622
2016-01-29,5.399191845196551,3.7632087184115974,2.8240005856089554,1.5866002949661904
2016-02-01,5.437875063417975,3.80374434041684,2.8336741311936744,1.55835144016459
2016-02-02,5.433022428446958,4.192193145176252,2.825033945229055,1.6558356109179837
2016-02-03,5.438177544678358,3.9576708461850303,2.8249649256255553,1.7208870477583953
2016-02-04,5.398718848350806,3.6877931679369933,2.8314454268537967,1.7311540532072403
2016-02-05,5.378560821963074,3.8544449395427276,2.8259258739902227,1.7697142870072542
2016-02-08,5.382251609646469,3.784920591284099,2.810936663812513,1.7301258114483995
2016-02-09,5.356882789196237,3.7718228517699126,2.811084727216028,1.7386427553835495
2016-02-10,5.369641603309136,3.699800541271712,2.8123643968653367,1.7869773382158856
2016-02-11,5.355060297157392,3.7079634054816633,2.804225373750872,1.7482015511241669
2016-02-12,5.346943981751939,4.003073144657566,2.786492253670025,1.6906540075691132
2016-02-15,5.333671493731875,4.146204306221899,2.783637944411549,1.5819602157138097
2016-02-16,5.379639440546871,4.302866097963649,2.772899337333423,1.5755654542108277
2016-02-17,5.380746449830701,4.047946433151868,2.7768626068949436,1.6172093217330716
2016-02-18,5.355008469346761,3.8702845461248665,2.7856152550539246,1.658497999583122
2016-02-19,5.378903726044706,3.488075934476166,2.7840043002251407,1.6628737635013127
2016-02-22,5.3538096923173315,3.4419211607124534,2.7747806895084275,1.6117813794049887
2016-02-23,5.360449916232062,3.6576659354057193,2.783512051307416,1.5122688628313252
2016-02-24,5.309607466688814,3.777330947872552,2.7818995680938228,1.5101596492471165
2016-02-25,5.276232948435108,3.7755154854568795,2.766723332122993,1.508750288202842
2016-02-26,5.277907381624703,3.8119297409405983,2.7709867870192064,1.514902234108414
2016-02-29,5.295600832316997,3.747138837456465,2.784989678122144,1.5633641356957328
2016-03-01,5.299514958082816,3.822406978665458,2.7895319697309118,1.6691200477533266
2016-03-02,5.295887372637366,3.9763292372637573,2.795639610915262,1.659869663276048
2016-03-03,5.288984154384677,3.7418651205231166,2.801982167965802,1.6412566646549742
2016-03-04,5.2502742986252375,3.8211610923863035,2.804033157397868,1.6175604250651539
2016-03-07,5.234930052177262,3.997054349482084,2.8087307802433448,1.620008524004623
2016-03-08,5.223786381497115,3.940922532710788,2.809786319620538,1.5742769766873106
2016-03-09,5.250760724153181,4.079849856311806,2.8072168853811204,1.5865093535789583
2016-03-10,5.2591592514595815,4.572587676523546,2.812923254940698,1.6175983856482756
2016-03-11,5.215581874826416,4.482817497301475,2.8000003285209716,1.6197694656428718
2016-03-14,5.225843925943226,4.5084806999767775,2.79560416907452,1.634092270488499
2016-03-15,5.214801657767371,4.324875509249651,2.798845455422055,1.6517560262544813
2016-03-16,5.196932680990842,4.323296429032974,2.799682290468528,1.5584783846622468
2016-03-17,5.211997284644081,4.379470941410383,2.795942177396602,1.5994760425720775
2016-03-18,5.2354541208554215,4.3857097599516,2.7987397131937977,1.5724357770085682
2016-03-21,5.257607256473793,4.183371431147993,2.798461151398453,1.5317057079587957
2016-03-22,5.235892393654989,4.203194318792479,2.8089054655575,1.5059660913731407
2016-03-23,5.230374244877444,4.442173795279999,2.8097274459561863,1.5532503545371943
2016-03-24,5.239666869855795,4.482633343406324,2.8143505218773615,1.562344355951779
2016-03-25,5.265088604618713,4.61758031341969,2.830108521430595,1.5087570572974363
2016-03-28,5.255201233284314,4.508043163221867,2.829355551666116,1.56298538321795
2016-03-29,5.250651611991968,4.592794783669357,2.830152337554881,1.5137670464181079
2016-03-30,5.224076122395645,4.574716362822849,2.8349557750850995,1.5521474544208103
2016-03-31,5.194367591343204,4.338087563891277,2.8265763399968975,1.5828211410329471
2016-04-01,5.215636599869466,4.369549174061223,2.844424269806386,1.6482173012708152
2016-04-04,5.2488972168245684,4.1769301080013586,2.841760268428752,1.7386048130716316
2016-04-05,5.242386455809948,4.062764262750868,2.8406652595264528,1.6450355066189948
2016-04-06,5.267838209129404,4.1059697583629235,2.8409500209499163,1.6390723235437958
2016-04-07,5.280416744963044,4.15956524702684,2.8512185553279923,1.630417298758885
2016-04-08,5.26646276396509,3.957858791000733,2.856386433246499,1.6591102630248407
2016-04-11,5.278066264289628,4.150690435711551,2.852066684200738,1.6654178726372006
2016-04-12,5.320231516897848,4.254450215019587,2.8594893341296164,1.6456933465028323
2016-04-13,5.319930921927726,4.121237850083193,2.8538329484664873,1.619187928154516
2016-04-14,5.360887471939691,3.8866453241668157,2.8523133835318193,1.5724695357382474
2016-04-15,5.293013255628035,3.8762087199851463,2.8515666664495805,1.6398090814642265
2016-04-18,5.3136894205664476,3.8410232880584445,2.8525110530748923,1.6710624022865344
2016-04-19,5.3176449911440455,3.8928336756261297,2.848846250059722,1.7099441066330165
