,GARCH SS dinámico,HMM por régimen,QR empírica p95,Factor BCRP
2017-01-02,12.768184744910968,102.2201764666263,179.31766849544624,-35.71753537362429
2017-01-09,-76.25344267232913,436.11810043132186,174.85664083676625,-54.16237903792444
2017-01-16,-39.957404525318,475.8576227440151,170.58273243881422,26.84736530938528
2017-01-23,-9.11877245024948,456.99683715303854,166.51576920099308,40.30933905600796
2017-01-30,38.15481051275833,98.60278508178851,171.60203968152132,20.71691483743166
2017-02-06,-26.666014915277003,-386.57638037382696,-799.9497275210962,-48.1005322687048
2017-02-13,-48.4223779719585,-313.06729001966147,-679.5146191840811,-27.927510064792216
2017-02-20,-47.36340637900639,166.18981152515175,200.7938936117543,4.759173396247661
2017-02-27,-85.54292869012784,279.06705546713744,197.00001036390836,39.59681845198054
2017-03-06,-39.90119527344609,275.2229105215943,197.71802388831043,-35.70761801948436
2017-03-13,-5.6291015595380145,-1510.349293652059,-1053.0115391617155,-17.918525667496112
2017-03-20,69.07405099128823,154.37794929672322,192.7932721371559,-75.02501146867132
2017-03-27,-133.90647151523126,165.58574625477036,203.49033758708117,-86.47948271494079
2017-04-03,-123.24834123341566,301.37634672697936,206.8701990596478,37.34816381113092
2017-04-10,-87.56422298276402,266.47860025748264,203.7394382266857,63.95126085747256
2017-04-17,-36.9094450425672,270.4537048796692,201.46368011367713,-20.63372620605378
2017-04-24,-21.413102839748035,215.14857064228954,199.5840442941801,32.52205238226543
2017-05-01,24.17582070711171,299.8037375490162,197.98055037496704,1.3228972230219824
2017-05-08,33.77048370205273,170.84144931510053,201.836984987778,-34.56236229234321
2017-05-15,-30.944212458095194,335.4195636301293,199.56970947302125,1.7453093483300108
2017-05-22,17.938356326607163,-511.14207663286834,-1197.6190423309033,-225.36102046827182
2017-05-29,-12.706167566239799,115.89769078645162,186.25400737219508,-14.608094030253937
2017-06-05,-71.38877487702644,356.16381601314544,189.1227319279153,60.89217109172182
2017-06-12,-50.460530988338235,225.8154714199918,184.63787683227395,-164.8661417202024
2017-06-19,5.640410828326594,251.86369199426565,194.24599282657653,24.221854276133854
2017-06-26,-29.288572064653636,351.8574638137263,190.095161757278,-22.113675207612914
2017-07-03,19.343645061562427,-2324.3854753555966,-664.9134701796665,-33.93361373764236
2017-07-10,36.9381151939038,116.34159196808525,202.29101365762205,-0.05163631720279227
2017-07-17,-86.01201601420121,184.02423408059713,208.79960796159583,-120.77856661194505
2017-07-24,-76.79768240272836,153.6097695835192,207.2610806152693,-23.213379312452957
2017-07-31,-73.01439282063984,395.61496667643905,202.7582807278127,7.091965763631379
2017-08-07,-21.692456137139402,460.4737436142574,199.3157359672881,46.10592462265993
2017-08-14,-2.2470790759291503,152.90790129758307,94.32993543338881,-32.43243509392556
2017-08-21,-29.853826445683183,-1784.528302967487,-772.831214904123,-50.95250905062727
2017-08-28,4.550056392974511,244.27577490158615,204.7511994862499,-41.07026722742694
2017-09-04,-47.0762730027962,158.9802206066173,205.8222693164663,30.088768602463745
2017-09-11,-90.43051335641121,400.21231311636484,204.92973735878934,5.016622770864956
2017-09-18,-41.52087358826043,484.5480212274962,201.32379077319115,-36.363218833511496
2017-09-25,-14.404486172873249,482.1355749429607,197.3880923038866,8.89674690803679
2017-10-02,20.258071109229263,448.9905192422078,193.6079846535648,-2.753326307937982
2017-10-09,48.33094461755877,469.70564847164695,190.39748377615012,27.32323621019134
2017-10-16,54.217680265894955,469.6849619084883,187.05963381776598,-40.967335277531106
2017-10-23,95.95911951510573,453.51192487254593,183.6957487504543,-23.540412333843506
2017-10-30,99.96016911519547,450.1073866149619,181.06990590160478,-28.006084887782663
2017-11-06,131.63807896267883,426.0899456140851,177.7222355683591,-79.11047903160636
2017-11-13,159.50161567310317,428.4336507945709,174.20591490919492,2.2152337362691696
2017-11-20,182.75251426502825,439.2457688290399,170.96596855970745,0.4337041782173401
2017-11-27,175.64142098600882,202.41786520616813,167.48009291987586,-9.659331350557352
2017-12-04,183.08281441884105,-35.71992030546255,166.63899713700147,-13.290082866571424
2017-12-11,190.8519994132726,-318.6419130446666,164.87195489284687,-73.62477202599223
2017-12-18,205.4501439308845,-1049.62034022442,164.51180805889578,-29.600926520591884
2017-12-25,208.77530730814414,208.15915110939102,170.62660350832687,-28.63429813862581
2018-01-01,143.9614044197972,251.36812329271754,174.8364694337149,-60.73798499902591
2018-01-08,33.41053441273459,253.1965881592282,173.69011745040893,-14.602760304190383
2018-01-15,8.363513093415008,406.0668566051743,172.16216056224346,16.187873046946834
2018-01-22,47.15265367643019,409.7196279134963,169.0603240232159,78.17807303521482
2018-01-29,69.00162424940959,407.05578638241116,167.60351779846496,-5.639812673583265
2018-02-05,99.93935180294136,446.39442288037526,164.65776698710215,-2.4826947517700546
2018-02-12,115.81571252993592,293.3493953864586,164.3860565121696,-15.411517963403867
2018-02-19,62.63912685428181,296.4424363463912,164.26625963426403,-84.47366086606229
2018-02-26,12.354482219746501,312.9257335063812,161.70067329807495,-11.563285404629937
2018-03-05,53.95981372381584,310.15397355930304,159.68357517147695,-6.843951388564733
2018-03-12,92.31096636991055,109.06010877508294,157.13554348716855,81.08812380775959
2018-03-19,93.83020597598784,409.66278192689606,156.38829109196797,-22.802600740508524
2018-03-26,122.33650076860641,209.10022327963674,156.08886077533526,-2.8126356942192388
2018-04-02,62.14631726555922,436.2883104618005,158.44244642476377,-16.776332036649364
2018-04-09,58.424855840379166,395.4031796002914,156.10842375502216,-62.20452896339509
2018-04-16,94.40289660834219,393.26378105316394,155.36898603968496,42.87573093359947
2018-04-23,116.15392120736942,300.46815089865675,153.03233249663833,24.673355429685785
2018-04-30,145.7897788994054,409.5420744391043,150.60126186777802,17.609500913932152
2018-05-07,141.52939129026691,366.3693788871396,147.80290186972167,-59.88207985830371
2018-05-14,159.6182509751094,301.5017829404047,148.38567562715957,46.54162083927781
2018-05-21,155.85612512514075,352.9127145914748,145.66422659285422,-85.39495176419649
2018-05-28,164.41321717101937,351.253027563159,145.49937827421581,7.7670139441709125
2018-06-04,169.8673813593166,412.1028317847197,143.47181055381498,76.82428195485869
2018-06-11,144.5421832537741,49.87459719626713,142.34781337021616,-71.99380531214331
2018-06-18,163.4701757105115,408.783752676884,145.10795888622692,-50.39995251944515
2018-06-25,138.36508585516788,417.40176960325954,149.52557610330018,-15.25868563506549
2018-07-02,-23.14138168240447,-473.19397964294495,147.42679805741403,-30.72464853141895
2018-07-09,-6.00812540734637,371.1816320277268,152.17563500336468,-82.47278552000984
