,Buy & Hold,Momentum (MACD),Mean-Rev (RSI),Regime (Vol)
2004-12-21,0.023190854454527923,0.0,0.0,0.0
2004-12-22,0.013395575889329464,0.0,0.006697787944664732,0.0
2004-12-23,-0.018875514210694888,-0.018875514210694888,-0.009437757105347444,-0.0
2004-12-24,-0.006112399006083366,-0.006112399006083366,-0.003056199503041683,-0.0
2004-12-27,0.016757987222226857,0.016757987222226857,0.008378993611113428,0.0
2004-12-28,-0.009053597495613994,-0.009053597495613994,-0.004526798747806997,-0.009053597495613994
2004-12-29,0.006170051779728289,0.006170051779728289,0.0030850258898641445,0.0
2004-12-30,0.010082546677103357,0.010082546677103357,0.005041273338551679,0.010082546677103357
2004-12-31,-0.010998508486793422,-0.010998508486793422,-0.005499254243396711,-0.010998508486793422
2005-01-03,-0.0003258193852781217,-0.0003258193852781217,-0.00016290969263906086,-0.0003258193852781217
2005-01-04,-0.037167391655664635,-0.037167391655664635,-0.018583695827832317,-0.037167391655664635
2005-01-05,-0.016108239048702518,-0.016108239048702518,-0.008054119524351259,-0.016108239048702518
2005-01-06,-0.0036653353413959033,-0.0036653353413959033,-0.0018326676706979517,-0.0
2005-01-07,-0.018684376359642478,-0.018684376359642478,-0.009342188179821239,-0.0
2005-01-10,0.025956719096043995,0.0,0.012978359548021998,0.025956719096043995
2005-01-11,-0.023849985738030436,-0.0,-0.011924992869015218,-0.0
2005-01-12,-0.007407202727911901,-0.0,-0.0037036013639559504,-0.0
2005-01-13,0.0026173340222088075,0.0,0.0013086670111044038,0.0
2005-01-14,0.023580766127226323,0.0,0.011790383063613161,0.023580766127226323
2005-01-17,-0.023960216036128714,-0.0,-0.011980108018064357,-0.023960216036128714
2005-01-18,0.021063050574732515,0.0,0.010531525287366257,0.0
2005-01-19,0.0005851109299389932,0.0,0.0002925554649694966,0.0
2005-01-20,-0.016408428310952034,-0.0,-0.008204214155476017,-0.0
2005-01-21,0.00826842863899185,0.0,0.004134214319495925,0.00826842863899185
2005-01-24,0.0036519129576375034,0.0,0.0018259564788187517,0.0036519129576375034
2005-01-25,-0.008915052295775348,-0.0,-0.004457526147887674,-0.008915052295775348
2005-01-26,0.0014454200185534166,0.0,0.0007227100092767083,0.0014454200185534166
2005-01-27,-0.005074207596480146,-0.0,-0.002537103798240073,-0.005074207596480146
2005-01-28,0.001940723954002074,0.0,0.000970361977001037,0.001940723954002074
2005-01-31,0.008939382962221463,0.0,0.004469691481110732,0.008939382962221463
2005-02-01,0.020337388680581447,0.0,0.010168694340290723,0.020337388680581447
2005-02-02,-0.01639062052395536,-0.0,-0.00819531026197768,-0.01639062052395536
2005-02-03,0.030004374058103096,0.0,0.015002187029051548,0.0
2005-02-04,-0.03128545798370648,-0.0,-0.01564272899185324,-0.03128545798370648
2005-02-07,-0.002375472328066874,-0.0,-0.001187736164033437,-0.0
2005-02-08,0.010592424229689517,0.0,0.0052962121148447585,0.0
2005-02-09,0.005104826575124341,0.0,0.0025524132875621706,0.005104826575124341
2005-02-10,-0.009526481782074775,-0.0,-0.004763240891037387,-0.009526481782074775
2005-02-11,-0.0028056196271977318,-0.0,-0.0014028098135988659,-0.0028056196271977318
2005-02-14,-0.00681080703271472,-0.0,-0.00340540351635736,-0.00681080703271472
2005-02-15,-0.007872898198354671,-0.0,-0.0039364490991773355,-0.007872898198354671
2005-02-16,0.01191080351341478,0.0,0.00595540175670739,0.01191080351341478
2005-02-17,0.0051839529846440515,0.0,0.0025919764923220258,0.0051839529846440515
2005-02-18,-0.008486875375946808,-0.0,-0.004243437687973404,-0.008486875375946808
2005-02-21,0.01162160859266195,0.0,0.005810804296330975,0.01162160859266195
2005-02-22,0.0042133725328163995,0.0,0.0021066862664081997,0.0042133725328163995
2005-02-23,0.010046281023390643,0.0,0.005023140511695321,0.010046281023390643
2005-02-24,0.00778114193648304,0.0,0.00389057096824152,0.00778114193648304
2005-02-25,-0.009065303923404653,-0.0,-0.004532651961702327,-0.009065303923404653
2005-02-28,-0.005894101236388959,-0.005894101236388959,-0.0029470506181944797,-0.005894101236388959
2005-03-01,0.008511877229253206,0.008511877229253206,0.004255938614626603,0.008511877229253206
2005-03-02,0.006920255918252119,0.006920255918252119,0.0034601279591260593,0.006920255918252119
2005-03-03,0.00018243127301239068,0.00018243127301239068,9.121563650619534e-05,0.00018243127301239068
2005-03-04,0.0015640625877940697,0.0015640625877940697,0.0007820312938970348,0.0015640625877940697
2005-03-07,0.01251106744332759,0.01251106744332759,0.006255533721663795,0.01251106744332759
2005-03-08,-0.005444939219253002,-0.005444939219253002,-0.002722469609626501,-0.005444939219253002
2005-03-09,0.00564323445597503,0.00564323445597503,0.002821617227987515,0.00564323445597503
2005-03-10,-0.0014851605250960158,-0.0014851605250960158,-0.0007425802625480079,-0.0014851605250960158
2005-03-11,-0.0015419750332294428,-0.0015419750332294428,-0.0007709875166147214,-0.0015419750332294428
2005-03-14,0.009792500803630637,0.009792500803630637,0.004896250401815318,0.009792500803630637
2005-03-15,0.007625211266830631,0.007625211266830631,0.0038126056334153156,0.007625211266830631
2005-03-16,0.0074923950623983415,0.0074923950623983415,0.0037461975311991707,0.0074923950623983415
2005-03-17,0.011725425127427556,0.011725425127427556,0.005862712563713778,0.011725425127427556
2005-03-18,0.0005910434841358052,0.0005910434841358052,0.0002955217420679026,0.0005910434841358052
2005-03-21,0.006332022928114071,0.006332022928114071,0.0,0.006332022928114071
2005-03-22,-0.002257296176301098,-0.002257296176301098,-0.0,-0.002257296176301098
2005-03-23,0.0030690613934955748,0.0030690613934955748,0.0,0.0030690613934955748
2005-03-24,-0.0006352484007941044,-0.0006352484007941044,-0.0,-0.0006352484007941044
2005-03-25,0.0011409694904061908,0.0011409694904061908,0.0,0.0011409694904061908
2005-03-28,0.004776244040415404,0.004776244040415404,0.0,0.004776244040415404
2005-03-29,-0.005523020900678895,-0.005523020900678895,-0.0,-0.005523020900678895
2005-03-30,0.015443073563030582,0.015443073563030582,0.0,0.015443073563030582
2005-03-31,-0.008127508983332655,-0.008127508983332655,-0.0,-0.008127508983332655
2005-04-01,-0.009942229993642748,-0.009942229993642748,-0.0,-0.0
2005-04-04,0.01052649044394914,0.01052649044394914,0.00526324522197457,0.01052649044394914
2005-04-05,0.007530569215047709,0.007530569215047709,0.0037652846075238544,0.007530569215047709
2005-04-06,0.005977913992400353,0.005977913992400353,0.0029889569962001767,0.005977913992400353
2005-04-07,0.005901586512703113,0.005901586512703113,0.0029507932563515565,0.005901586512703113
2005-04-08,0.00029485458959870226,0.00029485458959870226,0.00014742729479935113,0.00029485458959870226
2005-04-11,-0.00697782328460227,-0.00697782328460227,-0.003488911642301135,-0.00697782328460227
2005-04-12,0.001020690279400065,0.001020690279400065,0.0005103451397000325,0.001020690279400065
2005-04-13,-0.004922217451122305,-0.004922217451122305,-0.0024611087255611524,-0.004922217451122305
2005-04-14,0.007915447990829261,0.007915447990829261,0.003957723995414631,0.007915447990829261
2005-04-15,-0.0007498000336597322,-0.0007498000336597322,-0.0003749000168298661,-0.0007498000336597322
2005-04-18,-0.005802994735493159,-0.005802994735493159,-0.0029014973677465796,-0.005802994735493159
2005-04-19,-0.001996866913542604,-0.001996866913542604,-0.000998433456771302,-0.001996866913542604
2005-04-20,0.0033748532453630182,0.0033748532453630182,0.0016874266226815091,0.0033748532453630182
2005-04-21,-0.0035593692037546214,-0.0035593692037546214,-0.0017796846018773107,-0.0035593692037546214
2005-04-22,-0.005247122988606046,-0.005247122988606046,-0.002623561494303023,-0.005247122988606046
2005-04-25,0.0020659314386007152,0.0020659314386007152,0.0010329657193003576,0.0020659314386007152
2005-04-26,0.002025322871534871,0.002025322871534871,0.0010126614357674356,0.002025322871534871
2005-04-27,-0.0028692686920140462,-0.0028692686920140462,-0.0014346343460070231,-0.0028692686920140462
2005-04-28,-0.002573062944769979,-0.002573062944769979,-0.0012865314723849895,-0.002573062944769979
2005-04-29,0.0018326662531075594,0.0018326662531075594,0.0009163331265537797,0.0018326662531075594
2005-05-02,-0.008319903612199931,-0.008319903612199931,-0.004159951806099966,-0.008319903612199931
2005-05-03,-0.00863346864305433,-0.00863346864305433,-0.004316734321527165,-0.00863346864305433
2005-05-04,-0.004478886647084858,-0.004478886647084858,-0.002239443323542429,-0.0
2005-05-05,-0.0010326364453280483,-0.0010326364453280483,-0.0005163182226640241,-0.0
2005-05-06,0.002419722351282336,0.002419722351282336,0.002419722351282336,0.002419722351282336
