,return,true_state,price,viterbi,prob_1,smooth_1,prob_2,smooth_2,signal,ret_strategy,equity_strat,equity_bh
2018-01-02,0.003780284918067396,1,2710.2067692787823,1,1.0,1.0,1.768425432780672e-26,5.539778155700911e-26,0,,100.0,100.37802849180675
2018-01-03,-2.958580702710795e-05,1,2710.126585624303,1,0.9935091954697554,0.9994842924041317,0.006490804530244637,0.0005157075958683247,0,-0.0,100.0,100.37505872682604
2018-01-04,-0.0006049202483400159,1,2708.4871751770943,1,0.9916198066042822,0.9992517075221009,0.008380193395717807,0.0007482924778989905,0,-0.0,100.0,100.31433982137385
2018-01-05,-0.0006048217416950832,1,2706.849023246445,1,0.9910923027430244,0.9988952461173176,0.008907697256975579,0.0011047538826822756,0,-0.0,100.0,100.2536675276461
2018-01-08,0.01027527689304435,1,2734.662646467969,1,0.9735806432881596,0.9977542324860043,0.02641935671184031,0.0022457675139958316,0,0.0,100.0,101.28380172103589
2018-01-09,0.005404608374917453,1,2749.4424271096436,1,0.9820669795391412,0.9985412401184491,0.017933020460858807,0.001458759881550773,0,0.0,100.0,101.83120100406087
2018-01-10,-0.002016846315609713,1,2743.8972242805467,1,0.987615966170386,0.9989186001169318,0.01238403382961395,0.0010813998830681271,0,-0.0,100.0,101.62582312150172
2018-01-11,0.004055360261515788,1,2755.0247160455774,1,0.9887156853722893,0.998837091300459,0.01128431462771077,0.0011629086995410467,0,0.0,100.0,102.0379524461325
2018-01-12,0.0022517736293962047,1,2761.2284080495033,1,0.9901693672670017,0.9983243180084747,0.009830632732998322,0.0016756819915253042,0,0.0,100.0,102.26771881664827
2018-01-15,-0.010679681467946787,1,2731.7393681912886,1,0.9587784224811787,0.9961483483643987,0.04122157751882126,0.003851651635601301,0,-0.0,100.0,101.17553215523291
2018-01-16,-0.005276986722006542,1,2717.324015817361,1,0.972877434847304,0.99762422122122,0.027122565152695954,0.0023757787787800477,0,-0.0,100.0,100.64163021545782
2018-01-17,0.002685483995571643,1,2724.621345972621,1,0.9853577198572809,0.9983926571825198,0.014642280142719073,0.0016073428174801585,0,0.0,100.0,100.91190170268966
2018-01-18,0.009593892613529324,1,2750.7610705784123,1,0.9732197381475014,0.9979167580550382,0.02678026185249861,0.0020832419449617547,0,0.0,100.0,101.8800396510523
2018-01-19,-0.0005546578029192139,1,2749.235339486649,1,0.9859047258499365,0.9988917165447458,0.014095274150063486,0.0011082834552541391,0,-0.0,100.0,101.82353109209812
2018-01-22,-0.0024662963471510963,1,2742.4549104114144,1,0.9884209606513504,0.9991114914830753,0.01157903934864958,0.0008885085169245728,0,-0.0,100.0,101.57240408931165
2018-01-23,0.0014655355382591966,1,2746.4740755446956,1,0.9903051648254722,0.999231646311269,0.009694835174527832,0.0007683536887309053,0,0.0,100.0,101.72126205721095
2018-01-24,-0.00280383213951283,1,2738.7734232613448,1,0.9895083943948377,0.999185462940479,0.010491605605162253,0.0008145370595210385,0,-0.0,100.0,101.43605271338313
2018-01-25,-0.0009501624987596607,1,2736.1711434619624,1,0.9903888266675681,0.9992225146066287,0.009611173332431812,0.0007774853933712304,0,-0.0,100.0,101.33967198007268
2018-01-26,0.0007190166515723966,1,2738.1384960756636,1,0.9909209519539571,0.9991331268790988,0.00907904804604283,0.0008668731209010813,0,0.0,100.0,101.41253689169125
2018-01-29,-0.005546265573735402,1,2722.9520527987597,1,0.985910259032294,0.9986713766819186,0.014089740967706082,0.0013286233180813047,0,-0.0,100.0,100.85007602958369
2018-01-30,0.005735269472619134,1,2738.568916582582,1,0.9860095411731233,0.99852490954535,0.013990458826876688,0.0014750904546500113,0,0.0,100.0,101.42847839194748
2018-01-31,-0.006525061899826133,1,2720.699584884941,1,0.9810862096863878,0.9981125973776402,0.018913790313612153,0.001887402622359718,0,-0.0,100.0,100.76665129203487
2018-02-01,-0.007169116293390582,1,2701.1945731615215,1,0.976036134340927,0.9981176238892255,0.02396386565907298,0.001882376110774543,0,-0.0,100.0,100.04424345042673
2018-02-02,0.0019811674152147413,1,2706.546091832024,1,0.9866652494607105,0.9989101256580496,0.013334750539289513,0.001089874341950408,0,0.0,100.0,100.24244784563052
2018-02-05,0.005230799479972463,1,2720.703491721701,1,0.9870577690356903,0.9990137857747958,0.012942230964309633,0.000986214225204251,0,0.0,100.0,100.76679598969262
2018-02-06,0.0018282096871398228,1,2725.677508201102,1,0.9898402952407815,0.9992242579625731,0.010159704759218385,0.000775742037426859,0,0.0,100.0,100.95101882226302
2018-02-07,0.00010611030567055687,1,2725.9667306746564,1,0.990737113745782,0.9992724652683238,0.009262886254218016,0.0007275347316762365,0,0.0,100.0,100.961730765728
2018-02-08,-0.0010066221735357326,1,2723.2227121192386,1,0.9907167222190963,0.9992183904651493,0.00928327778090359,0.000781609534850703,0,-0.0,100.0,100.86010044886069
2018-02-09,-0.001963832625758725,1,2717.874758509972,1,0.9902476589299211,0.999032933019611,0.009752341070078885,0.0009670669803889761,0,-0.0,100.0,100.66202809296192
2018-02-12,0.007142733357313495,1,2737.287813208581,1,0.9850041227156237,0.9985233829891887,0.014995877284376392,0.0014766170108112989,0,0.0,100.0,101.38103011883635
2018-02-13,0.00274450381636877,1,2744.800310058432,1,0.9888771620744312,0.9983318797131423,0.011122837925568767,0.0016681202868576613,0,0.0,100.0,101.65927074290488
2018-02-14,-0.0015104936824978992,1,2740.6543065303704,1,0.9899609434276958,0.9967114120130043,0.010039056572304245,0.0032885879869956752,0,-0.0,100.0,101.50571505668037
2018-02-15,-0.013684596005507256,2,2703.1495595547485,1,0.9017050483386422,0.9908657390205464,0.09829495166135796,0.009134260979453492,0,-0.0,100.0,100.11665035387958
2018-02-16,0.004470057733045207,1,2715.232794147014,1,0.9586139463975604,0.9960006299813668,0.04138605360243961,0.0039993700186330885,0,0.0,100.0,100.5641775610005
2018-02-19,0.006985997134975706,1,2734.201402667717,1,0.971239147366685,0.9974132978981481,0.02876085263331489,0.0025867021018517755,0,0.0,100.0,101.26671861732287
2018-02-20,0.006387680714697192,1,2751.666608237636,1,0.9787969853905535,0.9982242504648289,0.02120301460944655,0.0017757495351711124,0,0.0,100.0,101.9135780828754
2018-02-21,-0.004235305139335831,1,2740.012460510028,1,0.9836957465043191,0.9987352780979891,0.016304253495680952,0.0012647219020108923,0,-0.0,100.0,101.4819429818529
2018-02-22,-0.0010552742551072874,1,2737.1209959017788,1,0.9886870286748083,0.9991066079264874,0.011312971325191762,0.0008933920735126708,0,-0.0,100.0,101.37485170006588
2018-02-23,-0.0020750454270717397,1,2731.4413454958913,1,0.9895690313662425,0.9991592364842722,0.010430968633757504,0.0008407635157277913,0,-0.0,100.0,101.1644942776256
2018-02-26,-0.00031395385998290277,1,2730.5837989421557,1,0.990591036284414,0.9991233597889885,0.009408963715585996,0.000876640211011606,0,-0.0,100.0,101.13273329415391
2018-02-27,0.0056751549343651885,1,2746.0802850624195,1,0.987841544495418,0.998734623112209,0.012158455504582092,0.0012653768877910548,0,0.0,100.0,101.70667722453406
2018-02-28,0.008937440171424938,1,2770.6232133160943,1,0.9780494523720002,0.9982483603147906,0.021950547627999816,0.0017516396852093055,0,0.0,100.0,102.61567456726274
2018-03-01,0.0029698161502858048,1,2778.851454881357,1,0.986686747469969,0.9988946193066206,0.01331325253003102,0.001105380693379297,0,0.0,100.0,102.92042425486507
2018-03-02,-0.0030707185276307456,1,2770.318384233319,1,0.9880935989154065,0.9989667698314795,0.011906401084593411,0.0010332301685205213,0,-0.0,100.0,102.60438460123405
2018-03-05,0.0005850437653402909,1,2771.9391417320226,1,0.9902889767017715,0.998870587985101,0.00971102329822841,0.0011294120148989473,0,0.0,100.0,102.66441265674158
2018-03-06,0.010187861934884038,1,2800.1792749998895,1,0.9734591452623708,0.9979569229335445,0.02654085473762922,0.0020430770664555662,0,0.0,100.0,103.71034351851442
2018-03-07,0.0013222824094290273,1,2803.881902798469,1,0.9861427789062942,0.9989366223685953,0.013857221093705838,0.0010633776314047997,0,0.0,100.0,103.8474778814248
2018-03-08,-0.0009940441027952046,1,2801.094720528058,1,0.989414123525709,0.99918690613244,0.01058587647429094,0.0008130938675601076,0,-0.0,100.0,103.74424890844661
2018-03-09,-0.0005180313270250716,1,2799.64366571286,1,0.9904986547362681,0.9992487133174525,0.009501345263732018,0.0007512866825476359,0,-0.0,100.0,103.69050613751334
2018-03-12,0.0029426754290704784,1,2807.882108338106,1,0.9903736121594148,0.9991957978455336,0.009626387840585258,0.0008042021544664885,0,0.0,100.0,103.99563364215207
2018-03-13,-0.004050961617359125,1,2796.507485691159,1,0.9881872362946729,0.9990452224213136,0.011812763705327082,0.0009547775786864598,0,-0.0,100.0,103.57435132189478
2018-03-14,-0.0022105422615072193,1,2790.3256877094177,1,0.9893231122662072,0.99908297971516,0.010676887733792842,0.0009170202848400623,0,-0.0,100.0,103.34539584108956
2018-03-15,0.006292412706212445,1,2807.8835685212316,1,0.9863531257362154,0.9989373306511016,0.013646874263784612,0.0010626693488983488,0,0.0,100.0,103.99568772300857
2018-03-16,0.002772506657958107,1,2815.6684444097273,1,0.9892548373333332,0.9991491576371218,0.01074516266666676,0.0008508423628781728,0,0.0,100.0,104.28401645961954
2018-03-19,0.0013824652960882423,1,2819.5610083194147,1,0.9905508501255305,0.9991644366581773,0.009449149874469643,0.0008355633418227147,0,0.0,100.0,104.42818549331166
