,demand,epsilon
2019-01-07,411.9974174841717,-12.969724045940623
2019-01-14,427.2130597143772,8.595702726089007
2019-01-21,364.8064387481534,-61.670446632853505
2019-01-28,413.12739966683563,-22.102898897244668
2019-02-04,379.47151859416533,-38.18694765860131
2019-02-11,379.289443976679,-38.369186453829165
2019-02-18,483.4189804576031,47.62685230252916
2019-02-25,416.79587828428356,-10.87846900724554
2019-03-04,450.1611096778975,34.85585353724701
2019-03-11,403.7079209259321,-21.717679509927503
2019-03-18,439.5574265677405,24.19160349586516
2019-03-25,346.1131083538058,-69.22959411049162
2019-04-01,518.9455460270917,96.52592331143143
2019-04-08,397.6013214155725,-3.26587613784954
2019-04-15,394.36194931921835,-8.388872355651312
2019-04-22,427.6170309401136,13.239906232523337
2019-04-29,343.34906587526945,-66.52262292138631
2019-05-06,477.48558104310354,54.343107717150815
2019-05-13,386.38834774540686,-24.531411499381026
2019-05-20,385.2717061364518,-20.605256850195232
2019-05-27,335.1883687705249,-99.46811891869065
2019-06-03,469.56772303170817,51.825486036573544
2019-06-10,478.17699190691644,57.50170986003715
2019-06-17,408.00264104053014,2.2501229026646916
2019-06-24,346.14407919973473,-68.41209355501344
2019-07-01,427.88035410800705,6.771128210908364
2019-07-08,403.39768080070866,-5.09238342506828
2019-07-15,453.22178914015603,29.464808956699283
2019-07-22,484.34706961770064,70.35345651688868
2019-07-29,377.771828370877,-39.31123413119017
2019-08-05,495.81953161264516,81.83659773493913
2019-08-12,473.2737967273798,34.751014882290455
2019-08-19,396.42377497621095,-23.441252776409748
2019-08-26,366.8876687190167,-42.53522199142431
2019-09-02,498.62353919362187,70.39809007258995
2019-09-09,483.4500378710288,75.65847437073904
2019-09-16,418.84684148016595,-3.241794469881611
2019-09-23,332.5647578475496,-67.83854091365268
2019-09-30,338.17713386449236,-68.54100564652336
2019-10-07,408.10430322951186,-13.864309129179404
2019-10-14,456.1523751793345,28.76770937938038
2019-10-21,415.4027039622878,-6.310978849611976
2019-10-28,412.7639643561965,-6.079552819921127
2019-11-04,409.92459036177104,-7.064372682336069
2019-11-11,393.4599006055783,-11.754879490747424
2019-11-18,430.9306312875525,18.129073371499626
2019-11-25,438.1371945583007,22.743582267898564
2019-12-02,408.24380219031093,-22.327420071878255
2019-12-09,383.0292276357319,-40.406955259952696
2019-12-16,400.84158180546115,-1.5280166409115299
2019-12-23,376.98053930355474,-46.26030039039323
2019-12-30,399.255468397375,-16.893708798461812
2020-01-06,434.502455855933,21.271675858992605
2020-01-13,383.5793023909399,-42.53746049746876
2020-01-20,451.39442514540764,21.08442992044816
2020-01-27,504.7061829429149,75.3933817517529
2020-02-03,440.67648360566903,29.068658837895423
2020-02-10,332.88959347678565,-84.01828276470218
2020-02-17,359.6459480561595,-63.66668625787608
2020-02-24,414.5598506209423,-15.195600650281285
2020-03-02,402.61858276558013,-12.589674855966985
2020-03-09,391.91709708134266,-26.22631315201915
2020-03-16,381.7367527374952,-27.19989752244451
2020-03-23,300.28377535776156,-107.75415840143171
2020-03-30,406.83536183874475,-21.28989638519723
2020-04-06,478.2655019622454,44.703101676537166
2020-04-13,497.19056648784675,77.91066770365005
2020-04-20,507.99680083189696,77.9614718529767
2020-04-27,380.5614587419491,-43.054901508527266
2020-05-04,444.63844374975196,31.089641295803183
2020-05-11,439.5991018883318,15.985145833247648
2020-05-18,401.32629979317585,-34.05406587148384
2020-05-25,426.33891337567,6.697173766769519
2020-06-01,444.4641580255627,8.817721467422638
2020-06-08,394.07928053425525,0.2767315751526937
2020-06-15,380.0589363818664,-48.1600886618859
2020-06-22,514.32713438681,93.45666370442838
2020-06-29,433.70346962228655,16.693543126945215
2020-07-06,458.96233391497066,38.04472614961567
