date,H_rolling
2010-12-31,0.5083102763360119
2011-03-15,0.5720965641574909
2011-05-25,0.5429110356379787
2011-08-05,0.5575097280325182
2011-10-17,0.5093837665432351
2011-12-28,0.4878696485579643
2012-03-12,0.5040696017302314
2012-05-22,0.46734526405896315
2012-08-02,0.4758527198419983
2012-10-12,0.48887364786920456
2012-12-27,0.5217087944710496
2013-03-12,0.500217219305477
2013-05-22,0.5068773667643889
2013-08-02,0.520694061011082
2013-10-14,0.5640899514419712
2013-12-24,0.5942341029745805
2014-03-10,0.5606496951569443
2014-05-20,0.5668261230935203
2014-07-31,0.6188369686012577
2014-10-10,0.6549387532334205
2014-12-22,0.6691334082418343
2015-03-06,0.6747121430341104
2015-05-18,0.6588648236675612
2015-07-29,0.6669113405904805
2015-10-08,0.6786657007083571
2015-12-18,0.6754741573306926
2016-03-03,0.6454220089823113
2016-05-13,0.6474815220596923
2016-07-26,0.6195763352212567
2016-10-05,0.5869214466256625
2016-12-15,0.5741837281914943
2017-03-01,0.521067803258325
2017-05-11,0.5541485652275187
2017-07-24,0.5002662952274098
2017-10-04,0.5578751745211693
2017-12-14,0.5011723302328799
2018-03-01,0.5301711375081253
2018-05-11,0.5269315758631474
2018-07-24,0.5302287849985242
2018-10-04,0.5650145269769824
2018-12-17,0.5751571494172459
2019-03-01,0.5728795690956702
2019-05-13,0.5485682563599513
2019-07-24,0.5752343568753341
2019-10-03,0.5774112106538244
2019-12-13,0.5667604738932076
2020-02-27,0.542949733393949
2020-05-08,0.5315975766726552
2020-07-21,0.5312757104127398
2020-09-30,0.5325159841499854
2020-12-10,0.5097990464554514
2021-02-24,0.5493354699483844
2021-05-06,0.5995135644851974
2021-07-19,0.56993343808667
2021-09-28,0.6023005248115191
2021-12-08,0.5994229519129173
2022-02-18,0.5878174711577248
2022-05-03,0.5846183633922937
2022-07-15,0.6202654265710218
2022-09-26,0.5469627614194199
2022-12-06,0.5783279220881287
2023-02-17,0.5561380966572452
2023-05-02,0.5236764585985088
2023-07-17,0.5672763871987403
2023-09-26,0.6025744135399956
2023-12-06,0.5850540069708637
